"unidade";"natureza da despesa";"valor"
"GEOTECNIA COM GEOSSINTÉTICOS";"PASSAGENS";"R$         2.906,10"
"GEOTECNIA COM GEOSSINTÉTICOS";"SERV. PESSOA JURÍDICA";"R$           675,00"
"GERÊNCIA DE ADMINISTRAÇÃO";"SERV. PESSOA JURÍDICA";"R$            33,00"
"GERONTOLOGIA E SAÚDE: CONSTRUINDO SABERES";"CUSTEIO";"R$         2.000,00"
"GESTAO DE BOLSAS";"AUX. FINANCEIRO ESTUDANTE";"R$    20.802.891,82"
"GESTAO DE BOLSAS";"SERV. PESSOA FÍSICA";"R$     1.138.300,00"
"GESTAO DE BOLSAS";"SERV. PESSOA JURÍDICA";"R$       656.331,00"
"GESTÃO DE CONTRATOS";"AUX. FINANCEIRO ESTUDANTE";"R$       965.077,53"
"GESTÃO DE CONTRATOS";"CUSTEIO";"R$     2.764.462,87"
"GESTÃO DE CONTRATOS";"DIÁRIAS";"R$     1.138.916,41"
"GESTÃO DE CONTRATOS";"DIV.EXERCÍCIOS ANTERIORES";"R$         5.331,21"
"GESTÃO DE CONTRATOS";"EQUIP. MATERIAL PERMANENTE";"R$     6.888.855,95"
"GESTÃO DE CONTRATOS";"LOC. MÃO-DE-OBRA";"R$    66.849.607,31"
"GESTÃO DE CONTRATOS";"MAT. CONSUMO";"R$    27.751.243,77"
"GESTÃO DE CONTRATOS";"MATERIAL DE CONSUMO";"R$             0,00"
"GESTÃO DE CONTRATOS";"OBRAS E INSTALAÇÕES";"R$         4.755,40"
"GESTÃO DE CONTRATOS";"OBRIGAÇÕES CONTRIBUTIVAS";"R$        17.272,32"
"GESTÃO DE CONTRATOS";"OBRIGAÇÕES PATRONAIS";"R$       447.930,54"
"GESTÃO DE CONTRATOS";"PAGAMENTO DE CAPITAL";"R$         5.152,00"
"GESTÃO DE CONTRATOS";"PASSAGENS";"R$     9.844.996,36"
"GESTÃO DE CONTRATOS";"PREMIAÇÕES CULT., E OUTRAS";"R$            15,90"
"GESTÃO DE CONTRATOS";"SERVIÇOS / UG-GESTÃO";"R$       155.480,81"
"GESTÃO DE CONTRATOS";"SERV. PESSOA FÍSICA";"R$     2.940.699,65"
"GESTÃO DE CONTRATOS";"SERV. PESSOA JURÍDICA";"R$    53.684.278,84"
"GESTÃO DE CONTRATOS";"UFRN / PESSOAL";"R$       243.096,58"
"GESTÃO DE RESÍDUOS ORGÂNICOS PRODUZIDOS NA UFRN: CAMPUS CENTRAL E ESCOLA AGRÍCOLA DE JUNDIAÍ.";"CUSTEIO";"R$         9.399,10"
"GESTÃO DE RESÍDUOS ORGÂNICOS PRODUZIDOS NA UFRN: CAMPUS CENTRAL E ESCOLA AGRÍCOLA DE JUNDIAÍ.";"EQUIP. MATERIAL PERMANENTE";"R$         8.700,00"
"GESTÃO DE RESÍDUOS ORGÂNICOS PRODUZIDOS NA UFRN: CAMPUS CENTRAL E ESCOLA AGRÍCOLA DE JUNDIAÍ.";"MAT. CONSUMO";"R$           499,46"
"GESTÃO DO CUIDADO NA ATENÇÃO PRIMÁRIA: ALINHAVANDO SABERES, PRÁTICAS E RESPONSABILIDADES NO NÚCLEO DE APOIO À SAÚDE DA FAMÍLIA.";"CUSTEIO";"R$         1.500,00"
"GESTÃO DO CUIDADO NA ATENÇÃO PRIMÁRIA: ALINHAVANDO SABERES, PRÁTICAS E RESPONSABILIDADES NO NÚCLEO DE APOIO À SAÚDE DA FAMÍLIA.";"EQUIP. MATERIAL PERMANENTE";"R$         1.048,56"
"GIGAPOP-PETROBRÁS";"SERV. PESSOA JURÍDICA";"R$        87.810,42"
"GLOMUS BRAZIL 2017";"CUSTEIO";"R$       100.000,00"
"GR - SECRETARIA ADMINISTRATIVA";"MAT. CONSUMO";"R$           270,99"
"GRUPO DE ESTUDOS DE MÚSICA ANTIGA (GEMA)";"CUSTEIO";"R$         6.000,00"
"GRUPO DE EUFÔNIOS E TUBAS DA UFRN";"CUSTEIO";"R$         2.000,00"
"GRUPO DE IMPROVISAÇÃO LIVRE DA EMUFRN";"CUSTEIO";"R$         1.000,00"
"GRUPO DE ÓPERA CANTO DELLARTE";"CUSTEIO";"R$         3.500,00"
"GRUPO DE TROMBONES ""POTIBONES"" (2015)";"CUSTEIO";"R$         2.079,00"
"GRUPO DE TROMBONES ""POTIBONES"" (2015)";"OBRIGAÇÕES PATRONAIS";"R$           340,00"
"GRUPO DE TROMBONES ""POTIBONES"" (2015)";"SERV. PESSOA FÍSICA";"R$         1.700,00"
"GRUPO DE TROMPAS DA UFRN";"CUSTEIO";"R$         5.000,00"
"GRUPO DE TROMPAS DA UFRN";"OBRIGAÇÕES PATRONAIS";"R$             0,00"
"GRUPO DE TROMPAS DA UFRN";"SERV. PESSOA FÍSICA";"R$             0,00"
"GRUPO ESPERANÇA VIVA";"CUSTEIO";"R$         3.000,00"
"GRUPO ESPERANÇA VIVA (2015)";"CUSTEIO";"R$         4.497,24"
"GRUPO ESPERANÇA VIVA (2015)";"EQUIP. MATERIAL PERMANENTE";"R$           545,37"
"GRUPO ESPERANÇA VIVA (2015)";"SERV. PESSOA JURÍDICA";"R$         2.878,14"
"GRUPO MUSICAL ACORDE";"AUX. FINANCEIRO ESTUDANTE";"R$         1.120,00"
"GRUPO MUSICAL ACORDE";"CUSTEIO";"R$        10.000,00"
"GRUPO MUSICAL ACORDE";"DIÁRIAS";"R$             0,00"
"GRUPO MUSICAL ACORDE";"SERV. PESSOA FÍSICA";"R$             0,00"
"GRUPO MUSICAL ACORDE (2015)";"AUX. FINANCEIRO ESTUDANTE";"R$           720,00"
"GRUPO MUSICAL ACORDE (2015)";"CUSTEIO";"R$         3.300,00"
"GRUPO MUSICAL ACORDE (2015)";"DIÁRIAS";"R$           484,55"
"GRUPO MUSICAL ACORDE (2015)";"SERV. PESSOA FÍSICA";"R$         1.740,00"
"GRUPO PET-CIÊNCIA DA COMPUTAÇÃO/EVENTOS";"CUSTEIO";"R$        21.331,51"
"GRUPO PET-CIÊNCIA DA COMPUTAÇÃO/EVENTOS";"EQUIP. MATERIAL PERMANENTE";"R$           928,00"
"GRUPO PET-CIÊNCIA DA COMPUTAÇÃO/EVENTOS";"MAT. CONSUMO";"R$         2.680,00"
"GRUPO PET-CIÊNCIA DA COMPUTAÇÃO/EVENTOS";"SERV. PESSOA JURÍDICA";"R$        66.170,68"
"GRUPO POTIBONES";"CUSTEIO";"R$         3.500,00"
"GRUPO POTIBONES";"OBRIGAÇÕES PATRONAIS";"R$           580,00"
"GRUPO POTIBONES";"SERV. PESSOA FÍSICA";"R$         2.900,00"
"GRUPOS DE CONVIVÊNCIA DE IDOSOS COMO ESPAÇO PARA PROMOÇÃO À SAÚDE";"CUSTEIO";"R$         8.307,41"
"GRUPO UNIVERSITÁRIO DE AQUARELA E PASTEL 2013";"CUSTEIO";"R$         6.000,00"
"GRUPPERC  GRUPO DE PERCUSSÃO DA EMUFRN";"CUSTEIO";"R$         2.500,00"
"GRUPPERC - GRUPO DE PERCUSSÃO DA EMUFRN (2015)";"CUSTEIO";"R$         1.122,00"
"GRUPPERC - GRUPO DE PERCUSSÃO DA EMUFRN (2015)";"OBRIGAÇÕES PATRONAIS";"R$            34,66"
"GRUPPERC - GRUPO DE PERCUSSÃO DA EMUFRN (2015)";"SERV. PESSOA FÍSICA";"R$           173,29"
"GUIA MOBILE NATAL";"CUSTEIO";"R$         3.657,00"
"HÁBITOS DE ESTUDO: DESENVOLVIMENTO DE HABILIDADES ACADÊMICAS EM ESTUDANTES UNIVERSITÁRIOS";"CUSTEIO";"R$         1.000,00"
"HÁBITOS DE ESTUDO: DESENVOLVIMENTO DE HABILIDADES ACADÊMICAS EM ESTUDANTES UNIVERSITÁRIOS";"MAT. CONSUMO";"R$           999,25"
"HÁBITOS DE ESTUDO: DESENVOLVIMENTO DE HABILIDADES ACADÊMICAS NOS ESTUDANTES DA UFRN";"AUX. FINANCEIRO ESTUDANTE";"R$           200,00"
"HÁBITOS DE ESTUDO: DESENVOLVIMENTO DE HABILIDADES ACADÊMICAS NOS ESTUDANTES DA UFRN";"CUSTEIO";"R$         3.314,63"
"HÁBITOS DE ESTUDO: DESENVOLVIMENTO DE HABILIDADES ACADÊMICAS NOS ESTUDANTES DA UFRN";"DIÁRIAS";"R$         1.128,44"
"HÁBITOS DE ESTUDO: DESENVOLVIMENTO DE HABILIDADES ACADÊMICAS NOS ESTUDANTES DA UFRN";"MAT. CONSUMO";"R$           448,11"
"HÁBITOS DE ESTUDO: DESENVOLVIMENTO DE HABILIDADES ACADÊMICAS NOS ESTUDANTES DA UFRN";"SERV. PESSOA JURÍDICA";"R$           707,05"
"HANDEBOL PARA TODOS";"CUSTEIO";"R$         1.014,00"
"HANDEBOL PARA TODOS";"EQUIP. MATERIAL PERMANENTE";"R$           890,00"
"HANDEBOL PARA TODOS";"MAT. CONSUMO";"R$            96,00"
"HEMOVIGILÂNCIA NO COMPLEXO HOSPITALAR DA UFRN";"CUSTEIO";"R$           580,00"
"HEMOVIGILÂNCIA NO COMPLEXO HOSPITALAR DA UFRN";"MAT. CONSUMO";"R$           241,96"
"HEMOVIGILÂNCIA NO HOSPITAL UNIVERSITÁRIO ONOFRE LOPES DA UFRN  CONSOLIDAÇÃO DE ESTRATÉGIA DE RECONHECIMENTO E NOTIFICAÇÃO DOS INCIDENTES TRANSFUSIONAIS";"CUSTEIO";"R$         2.650,00"
"HEMOVIGILÂNCIA NO HOSPITAL UNIVERSITÁRIO ONOFRE LOPES DA UFRN  CONSOLIDAÇÃO DE ESTRATÉGIA DE RECONHECIMENTO E NOTIFICAÇÃO DOS INCIDENTES TRANSFUSIONAIS";"DIÁRIAS";"R$           946,85"
"HISTÓRIA, CULTURA E FILOSOFIA: INTEGRAÇÃO INTERDISCIPLINAR PARA MELHORIA DO ENSINO (2015)";"CUSTEIO";"R$        19.701,50"
"HISTÓRIA, CULTURA E FILOSOFIA: INTEGRAÇÃO INTERDISCIPLINAR PARA MELHORIA DO ENSINO (2015)";"EQUIP. MATERIAL PERMANENTE";"R$        10.915,21"
"HISTÓRIA, CULTURA E FILOSOFIA: INTEGRAÇÃO INTERDISCIPLINAR PARA MELHORIA DO ENSINO (2015)";"MAT. CONSUMO";"R$           582,29"
"HORTA MANDALA: CULTIVANDO SUSTENTABILIDADE";"CUSTEIO";"R$         4.900,00"
"HORTA MANDALA: CULTIVANDO SUSTENTABILIDADE";"DIÁRIAS";"R$         1.984,45"
"HOSPED - HOSPITAL DE PEDIATRIA";"AUX. FINANCEIRO ESTUDANTE";"R$       294.515,36"
"HOSPED - HOSPITAL DE PEDIATRIA";"CUSTEIO";"R$     4.705.441,37"
"HOSPED - HOSPITAL DE PEDIATRIA";"DIÁRIAS";"R$        25.585,09"
"HOSPED - HOSPITAL DE PEDIATRIA";"DIV.EXERCÍCIOS ANTERIORES";"R$       689.969,44"
"HOSPED - HOSPITAL DE PEDIATRIA";"EQUIP. MATERIAL PERMANENTE";"R$     3.213.373,37"
"HOSPED - HOSPITAL DE PEDIATRIA";"LOC. MÃO-DE-OBRA";"R$     2.540.950,35"
"HOSPED - HOSPITAL DE PEDIATRIA";"MAT. CONSUMO";"R$     4.824.815,13"
"HOSPED - HOSPITAL DE PEDIATRIA";"OBRIGAÇÕES CONTRIBUTIVAS";"R$         4.808,49"
"HOSPED - HOSPITAL DE PEDIATRIA";"PAGAMENTO DE CAPITAL";"R$       346.600,00"
"HOSPED - HOSPITAL DE PEDIATRIA";"PASSAGENS";"R$        90.746,43"
"HOSPED - HOSPITAL DE PEDIATRIA";"SERVIÇOS / UG-GESTÃO";"R$           374,00"
"HOSPED - HOSPITAL DE PEDIATRIA";"SERV. PESSOA JURÍDICA";"R$    19.878.782,31"
"HOSPITAL UNIVERSITARIO ANA BEZERRA";"AUX. FINANCEIRO ESTUDANTE";"R$       157.380,00"
"HOSPITAL UNIVERSITARIO ANA BEZERRA";"CONTRIBUICOES";"R$         2.868,66"
"HOSPITAL UNIVERSITARIO ANA BEZERRA";"CUSTEIO";"R$       800.752,61"
"HOSPITAL UNIVERSITARIO ANA BEZERRA";"DIÁRIAS";"R$       138.862,43"
"HOSPITAL UNIVERSITARIO ANA BEZERRA";"DIV.EXERCÍCIOS ANTERIORES";"R$       498.099,04"
"HOSPITAL UNIVERSITARIO ANA BEZERRA";"EQUIP. MATERIAL PERMANENTE";"R$     9.483.934,15"
"HOSPITAL UNIVERSITARIO ANA BEZERRA";"INDENIZAÇÕES E RESTITUIÇÕE";"R$        12.137,58"
"HOSPITAL UNIVERSITARIO ANA BEZERRA";"LOC. MÃO-DE-OBRA";"R$     6.917.591,85"
"HOSPITAL UNIVERSITARIO ANA BEZERRA";"MAT. CONSUMO";"R$     8.661.335,85"
"HOSPITAL UNIVERSITARIO ANA BEZERRA";"OBRAS E INSTALAÇÕES";"R$       510.442,46"
"HOSPITAL UNIVERSITARIO ANA BEZERRA";"OBRIGAÇÕES CONTRIBUTIVAS";"R$        33.428,87"
"HOSPITAL UNIVERSITARIO ANA BEZERRA";"OBRIGAÇÕES PATRONAIS";"R$        18.783,02"
"HOSPITAL UNIVERSITARIO ANA BEZERRA";"PAGAMENTO DE CAPITAL";"R$        93.059,25"
"HOSPITAL UNIVERSITARIO ANA BEZERRA";"PASSAGENS";"R$       213.886,45"
"HOSPITAL UNIVERSITARIO ANA BEZERRA";"SERVIÇOS / UG-GESTÃO";"R$         1.032,56"
"HOSPITAL UNIVERSITARIO ANA BEZERRA";"SERV. PESSOA FÍSICA";"R$       340.597,39"
"HOSPITAL UNIVERSITARIO ANA BEZERRA";"SERV. PESSOA JURÍDICA";"R$    47.071.957,72"
"HOSPITAL UNIVERSITÁRIO ONOFRE LOPES";"AUX. FINANCEIRO ESTUDANTE";"R$        52.581,00"
"HOSPITAL UNIVERSITÁRIO ONOFRE LOPES";"CUSTEIO";"R$    34.999.200,70"
"HOSPITAL UNIVERSITÁRIO ONOFRE LOPES";"DIÁRIAS";"R$        23.283,60"
"HOSPITAL UNIVERSITÁRIO ONOFRE LOPES";"DIV.EXERCÍCIOS ANTERIORES";"R$     8.835.101,27"
"HOSPITAL UNIVERSITÁRIO ONOFRE LOPES";"EQUIP. MATERIAL PERMANENTE";"R$    39.176.056,97"
"HOSPITAL UNIVERSITÁRIO ONOFRE LOPES";"LOC. MÃO-DE-OBRA";"R$     3.067.542,49"
"HOSPITAL UNIVERSITÁRIO ONOFRE LOPES";"MAT. CONSUMO";"R$     6.418.165,81"
"HOSPITAL UNIVERSITÁRIO ONOFRE LOPES";"OBRAS E INSTALAÇÕES";"R$       527.592,53"
"HOSPITAL UNIVERSITÁRIO ONOFRE LOPES";"OBRIGAÇÕES CONTRIBUTIVAS";"R$         3.198,10"
"HOSPITAL UNIVERSITÁRIO ONOFRE LOPES";"OBRIGAÇÕES PATRONAIS";"R$           453,13"
"HOSPITAL UNIVERSITÁRIO ONOFRE LOPES";"PASSAGENS";"R$        23.416,88"
"HOSPITAL UNIVERSITÁRIO ONOFRE LOPES";"SENTENÇAS JUDICIAIS";"R$       212.138,20"
"HOSPITAL UNIVERSITÁRIO ONOFRE LOPES";"SERV. PESSOA FÍSICA";"R$        33.039,58"
"HOSPITAL UNIVERSITÁRIO ONOFRE LOPES";"SERV. PESSOA JURÍDICA";"R$   258.522.971,42"
"HUAB - REUNI";"EQUIP. MATERIAL PERMANENTE";"R$        71.600,00"
"HUAB - SETOR DE COMPRAS";"MAT. CONSUMO";"R$           757,50"
"HUAB - SETOR DE COMPRAS";"SERV. PESSOA JURÍDICA";"R$         2.591,20"
"HUOL - ASSESSORIA DE INFORMÁTICA";"MAT. CONSUMO";"R$         2.800,00"
"HUOL - ASSESSORIA DE INFORMÁTICA";"SERV. PESSOA JURÍDICA";"R$        15.941,59"
"HUOL - ASSESSORIA DE PLANEJAMENTO";"SERV. PESSOA JURÍDICA";"R$        40.000,00"
"HUOL - CENTRAL DE ESTERILIZAÇÃO E MATERIAIS";"SERV. PESSOA JURÍDICA";"R$        39.615,00"
"HUOL - CENTRO CIRURGICO";"MAT. CONSUMO";"R$           200,00"
"HUOL - CENTRO CIRURGICO";"SERV. PESSOA JURÍDICA";"R$           600,00"
"HUOL - CENTRO DE DIAGNÓSTICO POR IMAGEM";"MAT. CONSUMO";"R$         2.499,23"
"HUOL - CENTRO DE DIAGNÓSTICO POR IMAGEM";"SERV. PESSOA JURÍDICA";"R$        55.234,00"
"HUOL - DEPARTAMENTO DE CIRURGIA";"DIÁRIAS";"R$         3.084,97"
"HUOL - DIREÇÃO GERAL";"MAT. CONSUMO";"R$         1.608,12"
"HUOL - DIREÇÃO GERAL";"SERV. PESSOA JURÍDICA";"R$        18.372,86"
"HUOL - DIRETORIA ADMINISTRATIVA-FINANCEIRA";"CUSTEIO";"R$         1.341,53"
"HUOL - DIRETORIA ADMINISTRATIVA-FINANCEIRA";"DIV.EXERCÍCIOS ANTERIORES";"R$       101.000,00"
"HUOL - DIRETORIA ADMINISTRATIVA-FINANCEIRA";"MAT. CONSUMO";"R$        13.524,00"
"HUOL - DIRETORIA ADMINISTRATIVA-FINANCEIRA";"OBRIGAÇÕES PATRONAIS";"R$        19.550,17"
"HUOL - DIRETORIA ADMINISTRATIVA-FINANCEIRA";"SERVIÇOS / UG-GESTÃO";"R$           500,00"
"HUOL - DIRETORIA ADMINISTRATIVA-FINANCEIRA";"SERV. PESSOA FÍSICA";"R$       139.592,04"
"HUOL - DIRETORIA ADMINISTRATIVA-FINANCEIRA";"SERV. PESSOA JURÍDICA";"R$       691.340,51"
"HUOL - DIRETORIA DE ENGENHARIA CLINICA";"DIV.EXERCÍCIOS ANTERIORES";"R$        78.889,28"
"HUOL - DIRETORIA DE ENGENHARIA CLINICA";"MAT. CONSUMO";"R$       165.668,52"
"HUOL - DIRETORIA DE ENGENHARIA CLINICA";"OBRAS E INSTALAÇÕES";"R$       723.418,38"
"HUOL - DIRETORIA DE ENGENHARIA CLINICA";"OBRIGAÇÕES CONTRIBUTIVAS";"R$         4.672,68"
"HUOL - DIRETORIA DE ENGENHARIA CLINICA";"SERV. PESSOA JURÍDICA";"R$     2.569.731,45"
"HUOL - DIRETORIA DE RECURSOS HUMANOS";"AUX. FINANCEIRO ESTUDANTE";"R$         5.200,00"
"HUOL - DIRETORIA DE RECURSOS HUMANOS";"SERV. PESSOA JURÍDICA";"R$        64.447,99"
"HUOL - DIVISÃO DE ALMOXARIFADO";"DIV.EXERCÍCIOS ANTERIORES";"R$       432.052,73"
"HUOL - DIVISÃO DE ALMOXARIFADO";"MAT. CONSUMO";"R$     9.804.280,68"
"HUOL - DIVISÃO DE ALMOXARIFADO";"SERV. PESSOA JURÍDICA";"R$     6.930.029,95"
"HUOL - DIVISÃO DE NUTRIÇÃO E DIETETICA";"DIV.EXERCÍCIOS ANTERIORES";"R$       125.000,00"
"HUOL - DIVISÃO DE NUTRIÇÃO E DIETETICA";"MAT. CONSUMO";"R$     5.150.984,97"
"HUOL - DIVISÃO DE NUTRIÇÃO E DIETETICA";"SENTENÇAS JUDICIAIS";"R$        80.973,00"
"HUOL - DIVISÃO DE NUTRIÇÃO E DIETETICA";"SERV. PESSOA JURÍDICA";"R$     4.991.865,75"
"HUOL - GERÊNCIA DE RISCO";"MAT. CONSUMO";"R$           800,00"
"HUOL - LABORATÓRIO DE ANÁLISES CLÍNICAS";"CUSTEIO";"R$         2.420,25"
"HUOL - LABORATÓRIO DE ANÁLISES CLÍNICAS";"DIV.EXERCÍCIOS ANTERIORES";"R$       467.210,68"
"HUOL - LABORATÓRIO DE ANÁLISES CLÍNICAS";"MAT. CONSUMO";"R$    11.112.514,26"
"HUOL - LABORATÓRIO DE ANÁLISES CLÍNICAS";"SERV. PESSOA JURÍDICA";"R$     9.015.129,71"
"HUOL - NUCLEO DE AVALIAÇÃO DE TECNOLOGIA EM SAÚDE";"EQUIP. MATERIAL PERMANENTE";"R$        13.355,00"
"HUOL - NUCLEO DE AVALIAÇÃO DE TECNOLOGIA EM SAÚDE";"SERV. PESSOA JURÍDICA";"R$         8.000,00"
"HUOL - NÚCLEO HOSPITALAR DE EPIDEMIOLOGIA";"DIV.EXERCÍCIOS ANTERIORES";"R$         6.000,00"
"HUOL - NÚCLEO HOSPITALAR DE EPIDEMIOLOGIA";"SERV. PESSOA JURÍDICA";"R$         6.735,39"
"HUOL - SERVIÇO DE ABASTECIMENTO FARMACÊUTICO";"DIV.EXERCÍCIOS ANTERIORES";"R$     2.270.766,84"
"HUOL - SERVIÇO DE ABASTECIMENTO FARMACÊUTICO";"EQUIP. MATERIAL PERMANENTE";"R$        28.046,00"
"HUOL - SERVIÇO DE ABASTECIMENTO FARMACÊUTICO";"MAT. CONSUMO";"R$    61.833.131,18"
"HUOL - SERVIÇO DE ABASTECIMENTO FARMACÊUTICO";"SERV. PESSOA JURÍDICA";"R$    44.009.611,55"
"HUOL - SERVIÇO DE COMUNICAÇÃO, SEGURANÇA E TRANSPORTE";"MAT. CONSUMO";"R$        48.703,27"
"HUOL - SERVIÇO DE CONTROLE PATRIMONIAL";"EQUIP. MATERIAL PERMANENTE";"R$    37.017.099,50"
"HUOL - SERVIÇO DE CONTROLE PATRIMONIAL";"OBRAS E INSTALAÇÕES";"R$        89.900,00"
"HUOL - SERVIÇO DE FARMACOTÉCNICA";"DIV.EXERCÍCIOS ANTERIORES";"R$        67.634,32"
"HUOL - SERVIÇO DE FARMACOTÉCNICA";"SERV. PESSOA JURÍDICA";"R$        90.058,80"
"HUOL - SERVIÇO DE HIGIENIZAÇÃO E LIMPEZA";"LOC. MÃO-DE-OBRA";"R$       991.493,24"
"HUOL - SERVIÇO DE HIGIENIZAÇÃO E LIMPEZA";"SERV. PESSOA JURÍDICA";"R$        14.580,50"
"HUOL - SERVIÇO DE MANUTENÇÃO";"DIV.EXERCÍCIOS ANTERIORES";"R$       120.000,00"
"HUOL - SERVIÇO DE MANUTENÇÃO";"MAT. CONSUMO";"R$         1.800,00"
"HUOL - SERVIÇO DE MANUTENÇÃO";"SERV. PESSOA JURÍDICA";"R$     2.091.720,37"
"HUOL - SERVIÇO DE MECANOGRAFIA E REPROGRAFIA";"SERV. PESSOA JURÍDICA";"R$         1.900,00"
"HUOL - SERVIÇO DE NUTRIÇÃO ENTERAL";"MAT. CONSUMO";"R$       176.093,68"
"HUOL - SETOR DE ADMINISTRAÇÃO DE PESSOAL";"AUX. FINANCEIRO ESTUDANTE";"R$       598.956,00"
"HUOL - SETOR DE ADMINISTRAÇÃO DE PESSOAL";"DIÁRIAS";"R$        68.469,89"
"HUOL - SETOR DE ADMINISTRAÇÃO DE PESSOAL";"DIV.EXERCÍCIOS ANTERIORES";"R$        37.774,00"
"HUOL - SETOR DE ADMINISTRAÇÃO DE PESSOAL";"LOC. MÃO-DE-OBRA";"R$       912.775,73"
"HUOL - SETOR DE ADMINISTRAÇÃO DE PESSOAL";"PASSAGENS";"R$       164.934,46"
"HUOL - SETOR DE ADMINISTRAÇÃO DE PESSOAL";"SERV. PESSOA JURÍDICA";"R$     4.727.276,49"
"HUOL - UNIDADE DE TRANSPLANTE RENAL";"SERV. PESSOA JURÍDICA";"R$         2.000,00"
"HUOL - VICE-DIRETORIA DE FARMÁCIA";"MAT. CONSUMO";"R$         1.200,00"
"HUOL - VICE-DIRETORIA DE FARMÁCIA";"SERV. PESSOA JURÍDICA";"R$           600,00"
"ICE NA CIENTEC 2015: DESPERTANDO OLHARES PARA A NEUROCIÊNCIAS. ";"CUSTEIO";"R$         3.040,00"
"ICE NA CIENTEC 2015: DESPERTANDO OLHARES PARA A NEUROCIÊNCIAS. ";"MAT. CONSUMO";"R$            37,93"
"ICE NA CIENTEC 2016: O CÉREBRO E O CONHECIMENTO SE TRANSFORMAM";"CUSTEIO";"R$         5.000,00"
"I CICLO DE PALESTRAS SOBRE HÁBITOS DE ESTUDO E FORMAÇÃO PROFISSIONAL";"CUSTEIO";"R$         5.000,00"
"I CICLO DE PALESTRAS SOBRE HÁBITOS DE ESTUDO E FORMAÇÃO PROFISSIONAL";"MAT. CONSUMO";"R$         2.875,19"
"I CIRCUITO NORTE-RIO-GRANDENSE DE CULTURA DA INOVAÇÃO";"CUSTEIO";"R$         4.000,00"
"I COLÓQUIO NORTE-NORDESTE DE CIÊNCIAS SOCIAIS E HUMANAS NA EDUCAÇÃO DAS PROFISSÕES DA SAÚDE ";"CUSTEIO";"R$         3.000,00"
"I COLÓQUIO NORTE-NORDESTE DE CIÊNCIAS SOCIAIS E HUMANAS NA EDUCAÇÃO DAS PROFISSÕES DA SAÚDE ";"MAT. CONSUMO";"R$           137,00"
"I COLÓQUIO NORTE-NORDESTE DE CIÊNCIAS SOCIAIS E HUMANAS NA EDUCAÇÃO DAS PROFISSÕES DA SAÚDE ";"PASSAGENS";"R$             0,00"
"I CONCURSO DE REDAÇÃO SOBRE A TV UNIVERSITÁRIA ";"CUSTEIO";"R$         3.000,00"
"I CONFERÊNCIA REGIONAL DE SAÚDE AMBIENTAL E DO TRABALHADOR";"CUSTEIO";"R$         5.000,00"
"I CONFERÊNCIA REGIONAL DE SAÚDE AMBIENTAL E DO TRABALHADOR";"SERV. PESSOA JURÍDICA";"R$         4.993,52"
"I CONGRESSO BRASILEIRO DO PRÓ-SAÚDE E PET-SAÚDE (EV397-2014)";"AUX. FINANCEIRO ESTUDANTE";"R$         3.200,00"
"I CONGRESSO BRASILEIRO DO PRÓ-SAÚDE E PET-SAÚDE (EV397-2014)";"CUSTEIO";"R$        25.606,00"
"I CONGRESSO BRASILEIRO DO PRÓ-SAÚDE E PET-SAÚDE (EV397-2014)";"PASSAGENS";"R$             0,00"
"I CONGRESSO NORTE-NORDESTE DE NEUROCIÊNCIAS E COMPORTAMENTO - CONNEC";"CUSTEIO";"R$        10.000,00"
"I CONGRESSO NORTE-NORDESTE DE NEUROCIÊNCIAS E COMPORTAMENTO - CONNEC";"SERV. PESSOA JURÍDICA";"R$         7.987,50"
"I CONGRESSO NORTE-NORDESTE DE NEUROCIÊNCIAS E COMPORTAMENTO - CONNEC (EV349-2014)";"CUSTEIO";"R$         9.897,60"
"I CONGRESSO NORTE-NORDESTE DE NEUROCIÊNCIAS E COMPORTAMENTO - CONNEC (EV349-2014)";"SERV. PESSOA JURÍDICA";"R$         7.980,00"
"I CURSO DE CAPACITAÇÃO SOBRE PRINCÍPIOS EM GENÉTICA EPIDEMIOLÓGICA E MOLECULAR DA FACISA/UFRN (EV380-2014)";"AUX. FINANCEIRO ESTUDANTE";"R$           160,00"
"I CURSO DE CAPACITAÇÃO SOBRE PRINCÍPIOS EM GENÉTICA EPIDEMIOLÓGICA E MOLECULAR DA FACISA/UFRN (EV380-2014)";"CUSTEIO";"R$         4.000,00"
"I CURSO DE CAPACITAÇÃO SOBRE PRINCÍPIOS EM GENÉTICA EPIDEMIOLÓGICA E MOLECULAR DA FACISA/UFRN (EV380-2014)";"DIÁRIAS";"R$             0,00"
"I CURSO DE CAPACITAÇÃO SOBRE PRINCÍPIOS EM GENÉTICA EPIDEMIOLÓGICA E MOLECULAR DA FACISA/UFRN (EV380-2014)";"SERV. PESSOA FÍSICA";"R$             0,00"
"I CURSO DE CAPACITAÇÃO SOBRE PRINCÍPIOS EM GENÉTICA EPIDEMIOLÓGICA E MOLECULAR DA FACISA/UFRN (EV380-2014)";"SERV. PESSOA JURÍDICA";"R$         1.580,35"
"I CURSO DE ESPECIALIZAÇÃO EM NEUROPSICOLOGIA";"CUSTEIO";"R$       355.070,00"
"I CURSO DE ESPECIALIZAÇÃO EM NEUROPSICOLOGIA";"DIÁRIAS";"R$             0,00"
"I CURSO DE ESPECIALIZAÇÃO EM NEUROPSICOLOGIA";"OBRIGAÇÕES PATRONAIS";"R$           100,00"
